person_nid,person_title,person_round,person_house,country_nid,country_title,person_firstname,person_lastname,person_firstname_local,person_lastname_local,person_bday,person_gender,person_born_abroad,person_birthplace,person_birthcountry,person_marital_stat,person_numchild,person_occupation_1,person_occupation_2,person_occupation_3,person_family_clan_link,person_family_clan_name,person_family_clan_nam_rel,person_lang_native_nid,person_lang_native_title,person_lang_native_rel,person_lang_native_other,person_lang_spoken_nid,person_lang_spoken_title,person_lang_spoken_other,person_lang_english,person_lang_french,person_lang_arabic,person_lang_spanish,person_lang_chinese,person_lang_german,person_lang_russian,person_lang_portuguese,person_lang_other,person_lang_all_count,person_unv_name_1,person_unv_name_2,person_unv_name_3,person_ug_major_all,person_ug_major_1,person_ug_major_2,person_ug_major_3,person_education,person_college_country,person_abroad,person_eduwest,person_course_of_study,person_notes,person_aff_party_nid,person_aff_party,person_party_aff_nonpartisan,person_party_aff_power,person_party_aff_position,prsn_prty_aff_position_local,prsn_prty_aff_coalition_differ,person_party_aff_pol_exp,person_office_type_1,person_office_position_1,person_office_minposarea_1,person_office_minposarea_lo,person_office_service_began_1,prsn_office_srvc_bgn_cabi_1,person_office_terms_1,person_office_pm_participate_1,person_office_howmanydays_1,prsn_office_hwmnydys_miss_1,prsn_office_cnsttncy_nid_1,prsn_office_cnsttncy_title_1,person_office_type_2,person_office_position_2,person_office_minposarea_2,person_office_service_began_2,prsn_office_srvc_bgn_cabi_2,person_office_terms_2,person_office_pm_participate_2,person_office_howmanydays_2,prsn_office_hwmnydys_miss_2,prsn_office_cnsttncy_nid__2,prsn_office_cnsttncy_title_2,person_office_type_3,person_office_position_3,person_office_minposarea_3,person_office_service_began_3,prsn_office_srvc_bgn_cabi_3,person_office_terms_3,person_office_pm_participate_3,person_office_howmanydays_3,prsn_office_hwmnydys_miss_3,prsn_office_cnsttncy_nid_3,prsn_office_cnsttncy_title_3,terms,startReign,,
24260,Benjamin Netanyahu,"1,2",,24175,Israel,Benjamin,Netanyahu,,,1949-01-01,Male,,"Tel Aviv, Israel",,Married,3.0,"Self-employed: professional (accountant, architect, lawyer, medical doctor etc.)",,,,,,24379,Hebrew|Hebrew,,Hebrew,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,,,,economics / business / management,economics / business / management,,,Post-graduate (anything except Ph.D. degree),,1.0,1.0,"M.Sc., Business Management, Massachusetts Institute of Technology",,24380,Likud,No,Apex,Leader,Yoshev Rosh,No,Previous Minister,Executive,Prime Minister,economy,Estrategiya Kalkalit|Inyanei Gimlaim,2009-01-01,,5,,,,254913,israel,Member of Parliament,,other,1988-01-01,,8,,,,254913,israel,"Cabinet, Minister",,,2009-01-01,,5,,,,0,,5,2009-01-01,,
36087,Paul Biya,"1,2",,34948,Cameroon,Paul,Biya,,,1933-01-01,Male,0.0,Mvomeka'a in the South region,,Married,3.0,Employed: other white-collar worker,,,,,,,Bulu (Boulou),,Bulu (Boulou),"36042,36041",English|French,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,,,,law,law,,,Post-graduate (anything except Ph.D. degree),,1.0,1.0,Political Studies,Paul Biya is the President of the Republic of Cameroon since 1982.,34953,Cameroon People's Democratic Movement (CPDM) (153 seats in the National Assembly),No,Apex,National President,,,Party organization/administration,Executive,President of the Republic,,,1982-01-01,,4,,,,0,,,,,,,0,,,,0,,,,,,,0,,,,0,,4,1982-01-01,,
96584,Braima Camara,1,,78014,Guinea-Bissau,Braima,Camara,,,1967-03-22,Male,0.0,Geba,,Married,4.0,Self-employed: small businessman,,,,,,,Mandinga,Assumed,Mandinga,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,,,,,,,,Secondary,,0.0,0.0,,This man reached the top of the Private Sector even though he does not have a degree.,79311,African Party for the Independence of Guinea and Cape Verde,Yes,No,Member of Bureau Politique,Member of the Political Commission of Zone,No,National trade union,Executive,Chairman of the Chamber of Commerce,,,2008-01-01,,4,,,,0,,,,,,,0,,,,0,,,,,,,0,,,,0,,4,2008-01-01,,
22755,Recep Tayyip Erdogan,"1,2",,608,Turkey,Recep Tayyip,Erdogan,,,1954-01-01,Male,0.0,Istanbul,Turkey,Married,4.0,Self-employed: small businessman,"Full-time politician (paid by party organisation, parliament, government; think tanks; living of politics)",,,,,618,Turkish,Assumed,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,,,,economics / business / management,economics / business / management,,,University / college,,0.0,0.0,,"Official Website of National Assembly
https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=23&p_sicil=6371",619,Justice and Development Party,No,Apex,Chairman,Baskan,No,Party organization/administration,Executive,President of Turkey,,,2014-01-01,,4,,,,258520,ISTANBUL,Party leader,Chairman,,2001-01-01,,0,,,,0,,Member of Parliament,Leader,,2001-01-01,,4,,,,0,,4,2014-01-01,,
122625,Paul Kagame,1,,69327,Rwanda,Paul,Kagame,,,1957-01-01,Male,0.0,"Ruhango, Gitarama",,Married,4.0,Military official,,,,Abega clan,Assumed,121682,Kinyarwanda,Assumed,,"121683,121686",English|Swahili,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,,,,other,other,,,Secondary,,1.0,1.0,Business & Administration Management,,121687,Rwandan Patriotic Front (RPF-Inkotanyi),No,Apex,Chairman,,No,Party organization/administration,Executive,President,,,2017-01-01,,3,,,,0,,Party leader,President,,2000-01-01,,0,,,,0,,,,,,,0,,,,0,,3,2017-01-01,,
129228,Emomali Rahmon,"1,2",,128803,Tajikistan,Emomali,Rahmon,,,1952-01-01,Male,0.0,Dangara district,Tajikistan,Married,9.0,"Full-time politician (paid by party organisation, parliament, government; think tanks; living of politics)",,,,,,128816,Tajik,,,128817,Russian,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2,,,,economics / business / management,economics / business / management,,,University / college,,0.0,0.0,,"Official Webpage of Tajik Government, http://www.president.tj/en/taxonomy/term/5/33",128804,People's Democratic Party of Tajikistan,No,Apex,Chairman,,,,Executive,President,,,2013-01-01,,3,,,,0,,Party leader,Chairman of the People's Democratic Party of Tajikistan,,1998-01-01,,0,,,,0,,,,,,,0,,,,0,,3,2013-01-01,,
100912,Guy Parmelin,"1,2",Lower House,75341,Switzerland,Guy,Parmelin,,,1959-01-01,Male,0.0,Bursins (VD),Switzerland,Married,0.0,"Self-employed: farmer, fisherman",,,,,,75937,French,,,"90630,75932",English|Germanic languages,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3,,,,agronomy,agronomy,,,"Higher education, non university",,,,Master Farmer Winegrower,"https://www.parlament.ch/en/biografie?CouncillorId=1108
https://www.admin.ch/gov/en/start/departments/department-of-defence-civil-protection-sport-ddps.html",80911,Swiss People's Party SVP,No,No,Member,Former president of the cantonal party,,Party organization/administration,Executive,Federal Council,defence,"Department für Verteidigung und Bevölkerungsschutz|The Federal Department of Defence, Civil Protection and Sport (DDPS)",2007-01-01,,3,,,,0,,"Cabinet, Minister",,,,2003.0,0,,,,0,,,,,,,0,,,,0,,3,2007-01-01,,
265562,Ismail Omar Guelleh,,,115265,Djibouti,Ismail Omar,Guelleh,,,,Male,,Dire Dawa,Ethiopia,Married,4.0,"Full-time politician (paid by party organisation, parliament, government; think tanks; living of politics)",Military official,,,Guelleh,,115282,Somali,Assumed,,"115285,115284",Arabic|French,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,,,,,,,,Secondary,,0.0,,,,0,,,,,,,,Executive,President of Djibouti,,,1999-01-01,,3,,,,0,,Party leader,"President, People's Rally for Progress",,2003-01-01,,0,,,,0,,,,,,,0,,,,0,,3,1999-01-01,,
8564,Aleksander Grigoryevich Lukashenko,"1,2",,8183,Belarus,Aleksander Grigoryevich,Lukashenko,,,1954-01-01,Male,0.0,"Kopys, Vitebsk oblast",Belarus,Married,3.0,Other,,,,,,9293,Belarusian,Assumed,,9291,Russian,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2,,,,economics / business / management|social sciences,economics / business / management,social sciences,,University / college,,0.0,1.0,,,0,,Yes,,,,,Previous MP,Executive,President ,,,1994-01-01,,3,,,,0,,,,,,,0,,,,0,,,,,,,0,,,,0,,3,1994-01-01,,
81811,Hsien Loong Lee,"1,2",,80854,Singapore,Hsien Loong,Lee,,,1952-01-01,Male,0.0,Singapore,Singapore,Married,4.0,"Full-time politician (paid by party organisation, parliament, government; think tanks; living of politics)",,,,Lee,Assumed,"81002,81604",Chinese|English,Assumed,,81008,Malay,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3,,,,mathematics / computer science|social sciences,mathematics / computer science,social sciences,,Post-graduate (anything except Ph.D. degree),,1.0,1.0,Public Administration,http://www.cabinet.gov.sg/content/cabinet/appointments/mr_lee_hsien_loong.html,81015,People's Action Party,No,Apex,Secretary-General,,No,Party organization/administration,Executive,Prime Minister,,,2004-01-01,,3,,,,283732,Ang Mo Kio,Member of Parliament,,,2015-01-01,,7,,117.0,0.0,0,,Party leader,Secretary-General,,2004-01-01,,0,,,,0,,3,2004-01-01,,
