name,shortener
Adidas,ADS.DE
Airbus,AIR.PA
Allianz,ALV.DE
BASF,BAS.DE
Bayer,BAYN.DE
Beiersdorf,BEI.DE
BMW,BMW.DE
Brenntag,BNR.DE
Continental,CON.DE
Covestro,1COV.DE
Daimler Truck,DTG.DE
Delivery Hero,DHER.DE
Deutsche Börse,DB1.DE
Deutsche Bank,DBK.DE
Deutsche Post,DHL.DE
Deutsche Telekom,DTE.DE
E.ON,EOAN.DE
Fresenius,FRE.DE
Fresenius Medical Care,FME.DE
Hannover Rück,HNR1.DE
HeidelbergCement,HEI.DE
Hello Fresh,HFG.DE
Henkel,HEN3.DE
Infineon,IFX.DE
Mercedes Benz,MBG.DE
Merck,MRK.DE
MTU Aero Engines,MTX.DE
Münchner Rück,MUV2.DE
Porsche,P911.DE
Puma,PUM.DE
QIAGEN,QIA.DE
RWE,RWE.DE
SAP,SAP.DE
Sartorius,SRT3.DE
Siemens,SIE.DE
Siemens Healthineers,SHL.DE
Symrise,SY1.DE
Volkswagen,VOW3.DE
Vonovia,VNA.DE
Zalando,ZAL.DE
